letra	frequencia	tipo
a	6.00	14.63
a	6.00	14.63
b	3.13	1.04
b	3.13	1.04
c	2.79	3.88
c	2.79	3.88
d	6.69	4.99
d	6.69	4.99
e	4.81	12.57
e	4.81	12.57
f	5.78	1.02
f	5.78	1.02
g	4.11	1.30
g	4.11	1.30
h	5.20	1.28
h	5.20	1.28
i	4.90	6.18
i	4.90	6.18
j	6.13	0.40
j	6.13	0.40
k	5.13	0.02
k	5.13	0.02
l	3.53	2.78
l	3.53	2.78
m	2.76	4.74
m	2.76	4.74
n	4.45	5.05
n	4.45	5.05
o	4.93	10.73
o	4.93	10.73
p	2.30	2.52
p	2.30	2.52
q	2.03	1.20
q	2.03	1.20
r	3.12	6.53
r	3.12	6.53
s	6.56	7.81
s	6.56	7.81
t	2.26	4.74
t	2.26	4.74
u	3.74	4.63
u	3.74	4.63
v	2.74	1.67
v	2.74	1.67
x	1.36	0.21
x	1.36	0.21
w	2.79	0.01
w	2.79	0.01
y	1.83	0.01
y	1.83	0.01
z	0.91	0.47
z	0.91	0.47